"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
293,"2019-01-01 00:49:24.2270","2019-01-01 00:54:17.4030",3335,"Union St & 4 Ave",40.6772744,-73.98282002,3322,"12 St & 4 Ave",40.668603,-73.9904394,20101,"Subscriber",1987,1
2531,"2019-01-01 00:49:33.9620","2019-01-01 01:31:45.5220",3358,"Garfield Pl & 8 Ave",40.6711978,-73.97484126,423,"W 54 St & 9 Ave",40.76584941,-73.98690506,35551,"Subscriber",1981,1
200,"2019-01-01 00:49:42.0940","2019-01-01 00:53:02.5080",3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,403,"E 2 St & 2 Ave",40.72502876,-73.99069656,19922,"Subscriber",1985,1
967,"2019-01-01 00:50:10.0810","2019-01-01 01:06:17.7230",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,35052,"Subscriber",1981,1
313,"2019-01-01 00:50:09.2470","2019-01-01 00:55:22.9090",3107,"Bedford Ave & Nassau Ave",40.72311651,-73.95212324,3088,"Union Ave & Jackson St",40.7160751,-73.952029,30302,"Subscriber",1986,1
758,"2019-01-01 00:50:34.4020","2019-01-01 01:03:12.4910",3165,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,28480,"Subscriber",1972,1
783,"2019-01-01 00:51:22.1140","2019-01-01 01:04:25.6660",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,3157,"East End Ave & E 86 St",40.77518615,-73.94446054,31350,"Subscriber",1970,1
402,"2019-01-01 00:53:18.7130","2019-01-01 01:00:00.9260",3435,"Grand St & Elizabeth St",40.718822,-73.99596,502,"Henry St & Grand St",40.714215,-73.981346,34090,"Subscriber",1970,1
388,"2019-01-01 00:53:21.0710","2019-01-01 00:59:49.4190",484,"W 44 St & 5 Ave",40.75500254,-73.98014437,522,"E 51 St & Lexington Ave",40.75714758,-73.97207836,29738,"Subscriber",1984,1
714,"2019-01-01 00:53:25.5970","2019-01-01 01:05:19.7410",3171,"Amsterdam Ave & W 82 St",40.78524672,-73.97667321,3171,"Amsterdam Ave & W 82 St",40.78524672,-73.97667321,15693,"Subscriber",1987,2
273,"2019-01-01 00:53:54.7070","2019-01-01 00:58:28.3600",3429,"Hanson Pl & Ashland Pl",40.68506807308177,-73.97790759801863,3419,"Douglass St & 4 Ave",40.6792788,-73.98154004,21056,"Subscriber",1988,1
659,"2019-01-01 00:54:17.9090","2019-01-01 01:05:17.8300",3587,"Carroll St & Washington Ave",40.6686744,-73.9618148,3300,"Prospect Park West & 8 St",40.66514681533792,-73.97637605667114,19245,"Subscriber",1973,1
1086,"2019-01-01 00:54:50.2660","2019-01-01 01:12:57.2150",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,516,"E 47 St & 1 Ave",40.75206862,-73.96784384,34089,"Subscriber",1975,1
138,"2019-01-01 00:54:59.1900","2019-01-01 00:57:17.8020",3314,"W 95 St & Broadway",40.7937704,-73.971888,3293,"W 92 St & Broadway",40.7921,-73.9739,27036,"Subscriber",1954,1
857,"2019-01-01 00:55:06.7000","2019-01-01 01:09:24.1850",504,"1 Ave & E 16 St",40.73221853,-73.98165557,3656,"E 2 St & Avenue A",40.72307749068673,-73.98583620786667,15163,"Subscriber",1990,1
793,"2019-01-01 00:55:06.1280","2019-01-01 01:08:19.6970",3486,"Schermerhorn St & Bond St",40.688417427540834,-73.98451656103134,364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,34649,"Subscriber",1991,1
105,"2019-01-01 00:55:24.7940","2019-01-01 00:57:10.6760",497,"E 17 St & Broadway",40.73704984,-73.99009296,3463,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154,34764,"Subscriber",1994,1
